Title,Link,Image URL,Original Price,Discounted Price,Weight,Dimensions,Brand,Bowling Ball Coverstock Type,Bowling Ball Cover Name,Bowling Ball Core Name,Bowling Ball Core Shape,Radius of Gyration: RG (15LB),Differential: Diff (15LB),Mass Bias Strength,Flare Potential,Surface Finish,Scent,Ball Lane Conditions,Ball Performance Level,Bowling Ball Color,Ball Weight,Release Date,B.M.W
DV8 Dark Side Bowling Ball,https://www.bowlersmart.com/product/dv8-dark-side-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/03/DV8-Dark_Side-Bowling-Ball.png?w=300&h=300&crop=1,$259.95,$144.95,15 lbs,9 × 9 × 9 in,DV8,Hybrid Reactive,DV8 Inciter Hybrid Reactive,DV8 Dualistic Core,Symmetrical Core,2.48,.036,N/A,4 – 5 Inches,1500 Grit Polish,None,Medium Oil,Mid Performance Bowling Balls,"Purple,Red","12LB,13LB,14LB,15LB,16LB",March 2025,
Radical Torpedo Direct Hit Bowling Ball,https://www.bowlersmart.com/product/radical-torpedo-direct-hit-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/03/Radical-Torpedo-Direct-Hit-Bowling-Ball.png?w=300&h=300&crop=1,$239.95,$139.95,15 lbs,10 × 10 × 10 in,Radical,Pearl Reactive,Radical Low Friction Pearl Reactive,Radical Torpedo Asymmetric Core,Asymmetrical Core,2.48,.054,.017,4 – 5 Inches,2000 Grit Polish,,"Dry – Medium Oil,Medium Oil","Mid Performance Bowling Balls,Radical Reliable Line",Blue,"12LB,13LB,14LB,15LB,16LB",March 2025,
Radical Torpedo Bowling Ball,https://www.bowlersmart.com/product/radical-torpedo-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/03/Radical-Torpedo-Bowling-Ball.png?w=300&h=300&crop=1,$259.95,$194.95,15 lbs,10 × 10 × 10 in,Radical,Pearl Reactive,Radical HK22C+ Pearl Reactive,Radical Torpedo Asymmetric Core,Asymmetrical Core,2.48,.054,.017,4 – 5 Inches,1500 Grit Polish,,Medium – Heavy Oil,"High Performance Bowling Balls,Radical Top Shelf","Black,Blue","12LB,13LB,14LB,15LB,16LB",March 2025,
Motiv Evoke Hysteria Bowling Ball,https://www.bowlersmart.com/product/motiv-evoke-hysteria-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/02/MTVBEVHYS-Evoke-Hysteria-Front-1080.webp?w=300&h=300&crop=1,$289.95,$199.95,15 lbs,9 × 9 × 9 in,Motiv,Pearl Reactive,Motiv Propulsion MXV Pearl Reactive,Motiv Overload,Asymmetrical Core,2.48,.050,.015,5 – 6 Inches,4000 Grit,N/A,Heavy Oil,"High Performance Bowling Balls,Motiv Heavy Oil Bowling Balls","Blue,Purple","12LB,13LB,14LB,15LB,16LB",March 2025,
Storm IQ Tour A.I. Bowling Ball,https://www.bowlersmart.com/product/storm-iq-tour-a-i-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/02/Storm-IQ-Tour-AI-BOwling-Ball.webp?w=300&h=300&crop=1,$269.95,$174.95,15 lbs,9 × 9 × 9 in,Storm,Hybrid Reactive,Storm R2S Hybrid Reactive,Storm C3 + AI Core,Symmetrical Core,2.48,.031,N/A,3 – 4 Inches,Storm Power Edge,Apple Cider Donut,Medium Oil,"High Performance Bowling Balls,Storm Master Line","Black,Green","12LB,13LB,14LB,15LB,16LB",March 2025,
Roto Grip RST Hyperdrive Bowling Ball,https://www.bowlersmart.com/product/roto-grip-rst-hyperdrive-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/02/Roto-Grip-RST-Hyperdrive-Bowling-Ball.webp?w=300&h=300&crop=1,$289.95,$199.95,15 lbs,9 × 9 × 9 in,Roto Grip,Reactive,Roto Grip MicroTrax Solid Reactive,Roto Grip RST Core + AI,Asymmetrical Core,2.52,.055,.017,4 – 5 Inches,2000 Grit,,Medium – Heavy Oil,Roto Grip HP4 Bowling Balls,"Blue,Orange,Red","12LB,13LB,14LB,15LB,16LB",March 2025,
Columbia 300 Piranha PowerCOR Pearl Bowling Ball,https://www.bowlersmart.com/product/columbia-300-piranha-powercor-pearl-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/02/Piranha_PowerCOR_Pearl_720x720.png?w=300&h=300&crop=1,$279.95,$159.95,15 lbs,10 × 10 × 10 in,Columbia 300,Pearl Reactive,Columbia 300 ERT Pearl Reactive,Columbia 300 Piranha PowerCOR Core,Symmetrical Core,2.51,.055,N/A,4 – 5 Inches,1500 Grit Polish,None,Medium – Heavy Oil,"Columbia 300 Mid Performance Bowling Balls,Mid Performance Bowling Balls",Green,"12LB,13LB,14LB,15LB,16LB",February 2025,
Brunswick Hypnotize Bowling Ball,https://www.bowlersmart.com/product/brunswick-hypnotize-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/02/Hypnotize_720x720.png?w=300&h=300&crop=1,$289.95,$194.95,15 lbs,9 × 9 × 9 in,Brunswick,Hybrid Reactive,Brunswick Evolution Hybrid Reactive,Brunswick Tri-Elliptic Core,Asymmetrical Core,2.51,.056,.017,4 – 5 Inches,2000 Grit,None,Medium – Heavy Oil,High Performance Bowling Balls,"Blue,Purple,Silver","12LB,13LB,14LB,15LB,16LB",February 2025,
Track Stealth Mode Bowling Ball,https://www.bowlersmart.com/product/track-stealth-mode-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/02/Stealth_Mode_720x720.png?w=300&h=300&crop=1,$249.95,$159.95,15 lbs,10 × 10 × 10 in,Track,Reactive,Track QR-10 Solid Reactive,Track Stealth Core,Symmetrical Core,2.48,.056,N/A,4 – 5 Inches,1500 Grit,None,Medium – Heavy Oil,"Mid Performance Bowling Balls,Track Mid Performance Bowling Balls","Black,Blue","12LB,13LB,14LB,15LB,16LB",February 2025,
Track Criterion Hybrid Bowling Ball,https://www.bowlersmart.com/product/track-criterion-hybrid-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/02/Criterion_Hybrid_720x720.png?w=300&h=300&crop=1,$279.95,$189.95,15 lbs,10 × 10 × 10 in,Track,Hybrid Reactive,Track Super Response Hybrid HK22C Reactive,Track Criterion MD Core,Asymmetrical Core,2.50,.052,.018,4 – 5 Inches,1500 Grit Polish,None,Medium – Heavy Oil,"High Performance Bowling Balls,Track High Performance Bowling Balls","Blue,Gold","12LB,13LB,14LB,15LB,16LB",February 2025,
Roto Grip Rockstar Bowling Ball,https://www.bowlersmart.com/product/roto-grip-rockstar-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/01/Roto-Grip-Rockstar-Bowling-Ball.png?w=300&h=300&crop=1,$249.95,$164.95,15 lbs,9 × 9 × 9 in,Roto Grip,Reactive,Roto Grip NanoStar Solid Reactive,Roto Grip Rocker AI Core,Symmetrical Core,2.48,.050,N/A,4 – 5 Inches,2000 Grit,None,Heavy Oil,"High Performance Bowling Balls,Roto Grip HP3 Bowling Balls","Black,Red","12LB,13LB,14LB,15LB,16LB",,
Motiv Lethal Venom Bowling Ball,https://www.bowlersmart.com/product/motiv-lethal-venom-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/01/MTVBVMLTL-Lethal-Venom-Front-1080.jpg?w=300&h=300&crop=1,$229.95,$162.95,15 lbs,9 × 9 × 9 in,Motiv,Reactive,Motiv Leverage MXC,Motiv Gear APG,Asymmetrical Core,2.47,.036,.013,3 – 4 Inches,3000 Grit,None,Dry – Medium Oil,"Mid Performance Bowling Balls,Motiv Light to Medium Oil Bowling Balls","Black,Red","12LB,13LB,14LB,15LB,16LB",February 2025,
Storm Equinox Bowling Ball,https://www.bowlersmart.com/product/storm-equinox-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/01/Storm-Equinox-Bowling-Ball-700-jan2025.jpg?w=300&h=300&crop=1,$289.95,$199.95,15 lbs,9 × 9 × 9 in,Storm,Pearl Reactive,Storm A1S Pearl Reactive,Storm Solarion AI Core,Asymmetrical Core,2.48,.054,.018,4 – 5 Inches,Storm Power Edge,Blueberry Crumble,Medium – Heavy Oil,"High Performance Bowling Balls,Storm Premier Line",Purple,"12LB,13LB,14LB,15LB,16LB",February 2025,
